year,region,population
2009,Asia,4163712835
2010,Asia,4209593693
2011,Asia,4255189678
2012,Asia,4300462192
2013,Asia,4345331306
2014,Asia,4389699473
2015,Asia,4433475358
2016,Asia,4476607853
2017,Asia,4519040027
2018,Asia,4560667108
2009,Africa,1013045754
2010,Africa,1039304033
2011,Africa,1066409700
2012,Africa,1094343067
2013,Africa,1123045081
2014,Africa,1152433627
2015,Africa,1182438784
2016,Africa,1213040521
2017,Africa,1244222267
2018,Africa,1275920972
2009,Europe,734923390
2010,Europe,736412989
2011,Europe,737850675
2012,Europe,739225190
2013,Europe,740561861
2014,Europe,741818291
2015,Europe,743059035
2016,Europe,744268827
2017,Europe,745414735
2018,Europe,746419440
2009,North America,340182402
2010,North America,343287419
2011,North America,346251164
2012,North America,349093380
2013,North America,351824039
2014,North America,354464237
2015,North America,357031048
2016,North America,359524647
2017,North America,361942268
2018,North America,364295996
2009,South America,388503339
2010,South America,392543709
2011,South America,396571764
2012,South America,400581583
2013,South America,404561963
2014,South America,408493769
2015,South America,412362681
2016,South America,416164856
2017,South America,419903918
2018,South America,423581078