region,year,arrivals
Africa,2009,9678
Asia,2009,58309
Europe,2009,1693
North America,2009,4800
South America,2009,57
Africa,2010,13325
Asia,2010,52695
Europe,2010,1238
North America,2010,4856
South America,2010,126
Africa,2011,7693
Asia,2011,44583
Europe,2011,996
North America,2011,2930
South America,2011,46
Africa,2012,10629
Asia,2012,44416
Europe,2012,908
North America,2012,1948
South America,2012,130
Africa,2013,15984
Asia,2013,48840
Europe,2013,482
North America,2013,4206
South America,2013,233
Africa,2014,17501
Asia,2014,47197
Europe,2014,818
North America,2014,4066
South America,2014,252
Africa,2015,22492
Asia,2015,43115
Europe,2015,2164
North America,2015,1529
South America,2015,521
Africa,2016,31647
Asia,2016,48287
Europe,2016,3664
North America,2016,811
South America,2016,529
Africa,2017,20248
Asia,2017,26648
Europe,2017,5026
North America,2017,1455
South America,2017,233
Africa,2018,10468
Asia,2018,7522
Europe,2018,3460
North America,2018,827
South America,2018,128